,backword_bigrams,Freq
10455,لڑکپن پہ,1
10456,میں لڑکپن,1
10457,سنگ اسد,1
10458,اٹھایا سنگ,1
10459,تھا اٹھایا,1
10461,یاد سر,1
10462,کہتے آیا,1
10463,مُدّعا نے,1
10464,پایا مُدّعا,1
10466,دشمن دوستدارِ,1
10540,نہ بھلا,1
10467,بیخودی پرکاری,1
10468,و بیخودی,1
10469,کِھلنے لگا,1
10470,آج کِھلنے,1
10471,مِنّت درد,1
10472,کشِ مِنّت,1
10473,جمع ہوا,1
10474,کرتے جمع,1
10475,کیوں ہو,1
10476,رقیبوں کیوں,1
10477,کو رقیبوں,1
10479,کہاں ہم,1
10450,کو دشت,1
10449,دشت آیا,1
10448,یاد مگر,1
10447,مگر گشتہ,1
10419,وقتِ ترا,1
10420,سفر وقتِ,1
10421,یاد سفر,1
10423,نیرنگِ وہ,1
10424,نظر نیرنگِ,1
10425,ياد نظر,1
10426,آیا ياد,1
10427,نالہ آیا,1
10428,کرتا نالہ,1
10429,جگر تھا,1
10431,کیوں آیا,1
10432,ترا کیوں,1
10433,راھگزر ترا,1
10434,یاد راھگزر,1
10435,گھر آیا,1
10436,ترا گھر,1
10437,خلد ترا,1
10438,گر میں,1
10439,یاد گر,1
10440,دل آیا,1
10441,تنگ سے,1
10442,آکے تنگ,1
10443,جگر آکے,1
10444,دلِ آیا,1
10445,گم دلِ,1
10480,قسمت کہاں,1
10481,آزمانے قسمت,1
10482,جائیں آزمانے,1
10513,رہزنی تھما,1
10515,دلستانی کہ,1
10516,ہے دلستانی,1
10517,اک ہوا,1
10518,تماشا اک,1
10519,ہوا تماشا,1
10520,گلا ہوا,1
10521,نہ گلا,1
10522,تو ہوا,1
10523,جب ہی,1
10524,خنجر جب,1
10525,آزما خنجر,1
10526,نہ آزما,1
10527,گالیاں ہوا,1
10528,کھا گالیاں,1
10529,کے کھا,1
10530,بے کے,1
10531,مزا بے,1
10532,آج ہوا,1
10533,ہی آج,1
10534,گھر ہی,1
10535,بوریا میں,1
10536,نہ بوریا,1
10537,بندگی ہوا,1
10538,میں بندگی,1
10539,بھلا مرا,1
10514,ہے رہزنی,1
10512,تھما نہ,1
10483,کتنے جائیں,1
10511,نہ لہو,1
10484,شیریں کتنے,1
10485,ہیں شیریں,1
10486,لب تیرے,1
10487,کہ لب,1
10488,رقیب کہ,1
10489,ہے رقیب,1
10490,خبر ہے,1
10491,گرم خبر,1
10492,ان گرم,1
10493,آنے کے,1
10494,کی آنے,1
10496,نمرود وہ,1
10497,کی نمرود,1
10499,تھی خدائی,1
10500,جان تھی,1
10501,دی جان,1
10502,دی دی,1
10503,ہوئی دی,1
10504,اسی ہوئی,1
10505,تھی کی,1
10506,زخم تھی,1
10507,گر زخم,1
10508,دب گر,1
10509,گیا دب,1
10510,لہو گیا,1
10727,غالب تمنا,1
10730,بار تو,1
10416,آیا فریاد,1
10904,یہی سکا,1
10892,اِک کا,1
10893,جنون اِک,1
10894,تھا جنون,1
10895,بندگی میری,1
10896,میرا بندگی,1
10897,پیار میرا,1
10898,یہی تھا,1
10899,بات یہی,1
10900,نا بات,1
10901,میں نا,1
10902,بتا میں,1
10903,سکا بتا,1
10905,سوچتا یہی,1
10855,اُسکو نہ,1
10906,تھا سوچتا,1
10907,رات میں,1
10909,ملے کبھی,1
10911,وہ گا,1
10912,راہ وہ,1
10914,تو پر,1
10915,کروں تو,1
10916,گا کروں,1
10917,اُس گا,1
10918,سے اُس,1
10919,شکائتیں سے,1
10920,وہ شکائتیں,1
10891,میرے وہ,1
10890,تھا سکون,1
10889,سکون کا,1
10887,زندگی میری,1
10857,سکا بھلا,1
10859,دوریا وہ,1
10860,وہ دوریا,1
10861,ہی وہ,1
10862,فاصلے ہی,1
10863,میں فاصلے,1
10864,انکو نہ,1
10865,مٹا انکو,1
10866,سکا مٹا,1
10867,کیا سکا,1
10868,اُسے کیا,1
10869,بھی اُسے,1
10870,مجھ بھی,1
10874,تبسم یا,1
10875,اُسکا تبسم,1
10876,شعور اُسکا,1
10877,تھا شعور,1
10879,کوئی وہ,1
10880,عجیب کوئی,1
10881,سوال عجیب,1
10882,تھا سوال,1
10883,جو تھا,1
10884,سمجھ میری,1
10885,آسکا نہ,1
10886,میری آسکا,1
10921,ملا وہ,1
10922,تو ملا,1
10923,لب تو,1
10954,نمک تھا,1
10956,ہے زندگی,1
10958,طوفان کوئی,1
10959,ہم طوفان,1
10960,اس تو,1
10961,جینے اس,1
10962,کے جینے,1
10964,مر ہاتھوں,1
10965,چلے مر,1
10966,نہ چلے,1
10967,کہنا پہ,1
10968,کچھ ہوتا,1
10969,نہ ہونے,1
10970,ہونے نہ,1
10971,میں نے,1
10972,ایک ہوتا,1
10973,گوشہٴ ہر,1
10974,بساط گوشہٴ,1
10975,حبابِ میرا,1
10976,موجہٴ حبابِ,1
10977,رفتار موجہٴ,1
10978,نقشِ ہے,1
10979,بےدماغی یہ,1
10980,ہے بےدماغی,1
10981,موجِ کہ,1
10982,بوئے موجِ,1
10955,زندگی نمک,1
10953,تھا چنتا,1
10924,نہ لب,1
10952,چنتا سے,1
10925,ہلا نہ,1
10926,سکا ہلا,1
10927,نظر سکا,1
10928,کھٹکے میں,1
10929,ہے کھٹکے,1
10930,تیرے بن,1
10931,کی گھر,1
10932,آبادی کی,1
10933,ہمیشہ آبادی,1
10934,روتے ہمیشہ,1
10935,ہیں روتے,1
10936,دیکھ ہم,1
10937,در کر,1
10939,دیوار و,1
10940,یاد دیوار,1
10941,وہ تجھے,1
10943,وجد کہ,1
10944,ذوق وجد,1
10945,میں ذوق,1
10946,زخم میں,1
10947,سے زخم,1
10948,گرتا سے,1
10949,تو گرتا,1
10950,پلکوں میں,1
10951,سے پلکوں,1
10856,بھلا اُسکو,1
10853,کہ چھوڑ,1
10731,بار بار,1
10776,پوچھو مت,1
10761,میں وفا,1
10762,بڑھتے ہم,1
10763,جائیں بڑھتے,1
10764,ہوئی جائیں,1
10767,ہونے میرے,1
10768,بہت ہوتا,1
10769,عرصے بہت,1
10770,بعد عرصے,1
10771,آج بعد,1
10772,بھرپور کو,1
10773,دیکھا بھرپور,1
10775,مت ہے,1
10777,اس پوچھو,1
10852,مجھے گیا,1
10778,روپ کیا,1
10779,دیکھا روپ,1
10780,بند ہے,1
10781,کر بند,1
10783,یہ دیا,1
10784,سانپوں کے,1
10785,کو سانپوں,1
10786,سپیروں کو,1
10787,نے سپیروں,1
10788,انسان نے,1
10789,ہی انسان,1
10790,کافی ہی,1
10760,وفا میدان,1
10759,میدان ایسی,1
10758,ایسی ہو,1
10757,ہو عطا,1
10732,عرض بار,1
10733,ظاہر عرض,1
10734,حال تیرا,1
10735,سب حال,1
10736,ان سب,1
10737,پر ان,1
10738,کہے پر,1
10739,بغیر کہے,1
10740,ہم بغیر,1
10741,حمد ہم,1
10742,و حمد,1
10743,ثنا و,1
10744,تیری ثنا,1
10745,پڑھتے تیری,1
10746,جائیں پڑھتے,1
10747,ہو جائیں,1
10748,کوہ ہو,1
10749,بھی کوہ,1
10750,حائل بھی,1
10751,تو حائل,1
10752,چڑھتے تو,1
10753,جائیں چڑھتے,1
10754,یا جائیں,1
10755,توفیق ہمیں,1
10756,عطا توفیق,1
10791,ہے کافی,1
10792,انسان ہے,1
10793,کو انسان,1
10822,ہے ہی,1
10824,اس مجھے,1
10825,اسے سے,1
10826,مجھ اسے,1
10827,کبھی سے,1
10828,فرصت کبھی,1
10829,نہیں فرصت,1
10830,ملتی نہیں,1
10831,جو ملتی,1
10832,سب جو,1
10833,دیتے سب,1
10836,پیار دینگے,1
10837,جب پیار,1
10839,دینگے بھی,1
10840,کم دینگے,1
10841,یقین دینگے,1
10842,نہ یقین,1
10843,آزما تو,1
10844,لینا آزما,1
10845,زندگی لینا,1
10846,آپکو میں,1
10847,کبھی آپکو,1
10848,غم کبھی,1
10849,نہیں غم,1
10850,جوچلا دینگے,1
10851,گیا جوچلا,1
10823,مجھے غالب,1
10821,کا دونوں,1
10794,ڈسنے کو,1
10820,دونوں تو,1
10795,کے ڈسنے,1
10796,Musafir لیے,1
10797,K Musafir,1
10798,Rastay K,1
10799,Badaltay Rastay,1
10800,Rahay Badaltay,1
10801,Muqaddar Rahay,1
10802,Main Muqaddar,1
10803,Chalna Main,1
10804,Tha Chalna,1
10805,Chaltay Tha,1
10806,Rahay Chaltay,1
10807,Muhabbat Rahay,1
10808,Adawat Muhabbat,1
10809,Wafa Adawat,1
10810,Berukhi Wafa,1
10811,Kiray Berukhi,1
10812,K Kiray,1
10813,Ghar K,1
10814,Thay Ghar,1
10815,Badalty Thay,1
10816,Rahay Badalty,1
10817,محورے Rahay,1
10818,شوق محورے,1
10819,تو شوق,1
10418,ترا پھر,1
10415,فریاد تشنہٴ,1
12015,کتنی قربتیں,1
9983,تک منزل,1
9969,غالب ہیں,1
9970,کوئی ورنہ,1
9971,خوشی کوئی,1
9974,ساتھ ہوتا,1
9975,چلنے ساتھ,1
9976,کو چلنے,1
9977,چلے کو,1
9978,تھے چلے,1
9979,سبھی تھے,1
9980,دوست سبھی,1
9981,میری دشمن,1
9982,منزل میری,1
9984,کا تک,1
9933,شاہوں کبھی,1
9985,ساتھی کا,1
9986,صرف ساتھی,1
9987,میرا صرف,1
9988,سایہ میرا,1
9989,نکلا سایہ,1
9990,موت نکلا,1
9991,وقت ایک,1
9992,مقرر وقت,1
9993,ہے مقرر,1
9995,نیند پھر,1
9996,وہ آتی,1
9997,مل وہ,1
9968,ہیں ڈوبتی,1
9967,ڈوبتی لے,1
9966,لے ہی,1
9965,ہی مجبوریاں,1
9935,چوکھٹ کی,1
9936,پر چوکھٹ,1
9937,جتنی ہمیں,1
9938,ضرورت جتنی,1
9939,ہو ضرورت,1
9940,خدا ہو,1
9942,مانگ سے,1
9943,لیتے مانگ,1
9944,ہیں لیتے,1
9946,اب شخص,1
9948,رچا بھی,1
9949,بسا رچا,1
9950,ہے بسا,1
9951,سانسوں میری,1
9952,میں سانسوں,1
9953,ہاں غالب,1
9954,یہ ہاں,1
9955,اور یہ,1
9956,بات اور,1
9959,محرم نہیں,1
9960,نواہائے ہی,1
9961,راز نواہائے,1
9962,محبت کا,1
9963,ہمیشہ کو,1
9964,مجبوریاں ہمیشہ,1
9998,جائے مل,1
9999,مجھے جائے,1
10000,تو مجھے,1
10032,کوئے طوافِ,1
10035,ویراں کدہ,1
10036,کیے ویراں,1
10037,شوق پھر,1
10038,کیے جاں,1
10039,مانگے ہوئے,1
10040,کسی پھر,1
10041,کیے پریشاں,1
10042,جی پھر,1
10043,زیرِ سر,1
10044,بارِ زیرِ,1
10045,منت بارِ,1
10046,درباں منت,1
10047,کیے درباں,1
10048,ڈھونڈتا جی,1
10049,ہے ڈھونڈتا,1
10050,وہی پھر,1
10051,فُرصت وہی,1
10052,کے فُرصت,1
10053,بیٹھے دن,1
10054,رہیں بیٹھے,1
10055,تصوّرِ رہیں,1
10056,جاناں تصوّرِ,1
10057,کیے جاناں,1
10058,نہ ہمیں,1
10059,چھیڑ نہ,1
10034,کدہ صنم,1
10031,طوافِ پھر,1
10002,سمجھوں یوں,1
10030,پھر دل,1
10003,غالب گا,1
10004,جنت غالب,1
10005,اعلان کا,1
10006,ہو اعلان,1
10007,کسی جیسے,1
10008,گناہ کسی,1
10009,گار گناہ,1
10010,کیلئے گار,1
10011,دیدار کیلئے,1
10012,کی دیدار,1
10013,ہو طلب,1
10014,نظریں تو,1
10015,جمائے نظریں,1
10016,رکھ جمائے,1
10017,غالب رکھ,1
10018,پردہ غالب,1
10019,ہو پردہ,1
10021,نقاب یا,1
10022,سرکتا نقاب,1
10023,ضرور سرکتا,1
10024,مُدّت ہے,1
10025,ہوئی مُدّت,1
10026,کیے مہماں,1
10028,کیے چراغاں,1
10029,دل ہوئے,1
9934,کی شاہوں,1
9932,کبھی نے,1
10061,جوشِ پھر,1
9821,ہواے سے,1
9808,حائل کوئی,1
9809,نہیں حائل,1
9810,گو رہا,1
9811,میں گو,1
9813,رہینِ رہا,1
9814,ستمہائے رہینِ,1
9815,روزگار ستمہائے,1
9816,لیکن روزگار,1
9817,ترے لیکن,1
9818,غافل سے,1
9819,نہیں غافل,1
9820,دل رہا,1
9822,کشتِ ہواے,1
9931,ہم کئے,1
9823,وفا کشتِ,1
9824,مٹ وفا,1
9825,گئی مٹ,1
9826,کہ گئی,1
9827,واں کہ,1
9828,حاصل واں,1
9829,سوائے حاصل,1
9830,حسرتِ سوائے,1
9831,حاصل حسرتِ,1
9832,بیدادِ رہا,1
9833,عشق بیدادِ,1
9835,ڈرتا نہیں,1
9806,اب نگاہ,1
9805,نگاہ از,1
9804,غیر حسن,1
9803,حسن نقابِ,1
9778,کہ کر,1
9779,شایانِ میں,1
9780,دست شایانِ,1
9781,بازوےٴ و,1
9782,قاتل بازوےٴ,1
9783,نہیں قاتل,1
9784,بر رہا,1
9785,روئے بر,1
9786,شش روئے,1
9787,در جہت,1
9788,آئینہ در,1
9789,باز آئینہ,1
9790,امتیازِ یاں,1
9791,ناقص امتیازِ,1
9792,و ناقص,1
9793,کامل و,1
9794,نہیں کامل,1
9795,وا رہا,1
9796,کر وا,1
9797,دیئے کر,1
9798,ہیں دیئے,1
9799,شوق ہیں,1
9800,نے شوق,1
9801,بندِ نے,1
9802,نقابِ بندِ,1
9836,مگر ڈرتا,1
9837,اسد مگر,1
9838,جس اسد,1
9903,واقف سے,1
9905,اتنا ہے,1
9906,غالب اتنا,1
9907,لفظ میں,1
9908,محبت لفظ,1
9909,لکھوں محبت,1
9911,تیرا تو,1
9912,نام تیرا,1
9913,لکھا نام,1
9914,جاتا لکھا,1
9915,بس ہے,1
9916,ختم بس,1
9917,کرو ختم,1
9918,یہ کرو,1
9919,بازیِ یہ,1
9920,عشق بازیِ,1
9921,غالب عشق,1
9922,مقدر غالب,1
9923,کے مقدر,1
9924,ہارے کے,1
9925,کبھی ہارے,1
9926,جیتا کبھی,1
9927,نہیں جیتا,1
9928,نہیں کرتے,1
9929,سجدے نہیں,1
9930,کئے سجدے,1
9904,ہے واقف,1
9902,سے جذبات,1
9839,نہیںرہا دل,1
9901,جذبات میرے,1
9840,دھمکی نہیںرہا,1
9841,مرگیا میں,1
9842,جو مرگیا,1
9865,قید تھا,1
9866,مجھے کیوں,1
9872,ھے یقین,1
9882,وقت سکتا,1
9883,نِدا وقت,1
9884,ہے نِدا,1
9885,اضطراب ہے,1
9886,میں اضطراب,1
9887,جان کہ,1
9888,کس جان,1
9889,غالب دوں,1
9890,وہ غالب,1
9891,آبیٹھے بھی,1
9892,ہیں آبیٹھے,1
9893,موت اور,1
9894,بھی موت,1
9895,آبیٹھی بھی,1
9896,ہے آبیٹھی,1
9897,ہے یقین,1
9898,میرا سکتا,1
9899,قلم میرا,1
9900,میرے قلم,1
10060,کہ چھیڑ,1
10062,بیٹھے سے,1
10414,تشنہٴ جگر,1
10337,کو سائے,1
10325,شعلہٴ تپشِ,1
10326,سوزاں شعلہٴ,1
10327,سمجھا سوزاں,1
10328,سفرِ سمجھا,1
10329,عشق سفرِ,1
10330,کی میں,1
10331,ضعف کی,1
10332,راحت نے,1
10333,طلبی راحت,1
10334,ہر طلبی,1
10335,قدم ہر,1
10336,سائے قدم,1
10338,شبستان اپنے,1
10294,گرفتاریٴ اسبابِ,1
10339,سمجھا شبستان,1
10340,تھا سمجھا,1
10341,گریزاں تھا,1
10342,مژہٴ گریزاں,1
10343,یار مژہٴ,1
10344,دمِ تا,1
10345,مرگ دمِ,1
10346,دفعِ مرگ,1
10347,پیکانِ دفعِ,1
10348,قضا پیکانِ,1
10349,اِس قضا,1
10350,قدر اِس,1
10324,تپشِ سے,1
10323,سے خس,1
10322,خس نبضِ,1
10321,نبضِ ہوگا,1
10296,مت خاطر,1
10297,اس پوچھ,1
10298,تنگ قدر,1
10299,ہوا تنگ,1
10300,زنداں میں,1
10301,سمجھا زنداں,1
10302,بدگمانی سمجھا,1
10303,نے بدگمانی,1
10304,چاہا نہ,1
10305,اسے چاہا,1
10306,سرگرم اسے,1
10307,خرام سرگرم,1
10308,رخ خرام,1
10309,پہ رخ,1
10310,ہر پہ,1
10311,عرق قطرہ,1
10312,دیدہٴ عرق,1
10313,حیراں دیدہٴ,1
10314,سمجھا حیراں,1
10315,عجزسے سمجھا,1
10316,اپنے عجزسے,1
10317,یہ اپنے,1
10318,جانا یہ,1
10319,بد وہ,1
10320,ہوگا خو,1
10351,آساں قدر,1
10352,سمجھا آساں,1
10353,دل سمجھا,1
10385,اے واماندگی,1
10387,زندگی دل,1
10388,یوں زندگی,1
10389,بھی یوں,1
10390,گزر بھی,1
10391,ہی گزر,1
10392,جاتی ہی,1
10393,کیا جاتی,1
10394,ہی کیا,1
10395,رضواں ہی,1
10396,سے رضواں,1
10397,لڑائی سے,1
10398,ہوگی لڑائی,1
10401,جرأت وہ,1
10402,فریاد جرأت,1
10403,کہاں فریاد,1
10404,پھر کہاں,1
10405,تیرے پھر,1
10406,کو کوچے,1
10407,جاتا کو,1
10408,کوئی خیال,1
10409,ویرانی کوئی,1
10410,سی ویرانی,1
10411,ویرانی سی,1
10412,ہے ویرانی,1
10413,جگر دل,1
10386,حسرتِ اے,1
10384,واماندگی عذر,1
10354,دیا دل,1
10383,عذر یعنی,1
10355,جان دیا,1
10356,کے جان,1
10357,کیوں کے,1
10358,اس کیوں,1
10359,وفادار کو,1
10360,اسد وفادار,1
10361,غلطی اسد,1
10362,کی غلطی,1
10364,کافر جو,1
10365,مسلماں کو,1
10366,سمجھا مسلماں,1
10367,پھر سمجھا,1
10368,مجھے پھر,1
10369,دیدہٴ مجھے,1
10370,تر دیدہٴ,1
10371,یاد تر,1
10373,دم آیا,1
10374,لیا دم,1
10375,تھا لیا,1
10377,قیامت نہ,1
10378,نے قیامت,1
10379,ہنوز نے,1
10380,سادگی ہنوز,1
10381,تمنا ہائے,1
10382,یعنی تمنا,1
10295,خاطر گرفتاریٴ,1
10293,اسبابِ شرحِ,1
10063,تہیّۂِ ہم,1
10174,عشق اعتبارِ,1
10162,سے حیرت,1
10163,نفس سے,1
10164,پرور نفس,1
10165,ہوا پرور,1
10166,خطِ ہوا,1
10167,جامِ خطِ,1
10168,مے جامِ,1
10169,سراسر مے,1
10170,رشتہٴ سراسر,1
10171,گوہر رشتہٴ,1
10172,ہوا گوہر,1
10173,اعتبارِ ہوا,1
10175,خرابی خانہ,1
10292,شرحِ سمجھا,1
10176,دیکھنا خرابی,1
10177,غیر دیکھنا,1
10180,لیکن آہ,1
10181,وہ لیکن,1
10182,خفا وہ,1
10184,گھر ہوا,1
10185,ہمارا گھر,1
10186,جو ہمارا,1
10187,روتے نہ,1
10188,بھی روتے,1
10189,ویراں تو,1
10190,ہوتا ویراں,1
10161,حیرت بسکہ,1
10160,بسکہ مے,1
10159,مے قطرہٴ,1
10158,قطرہٴ نکلا,1
10064,طوفاں تہیّۂِ,1
10065,کیے طوفاں,1
10066,کتنی ہوئے,1
10067,عجیب کتنی,1
10068,ہے عجیب,1
10069,نیکیوں ہے,1
10070,کی نیکیوں,1
10071,غالب جستجو,1
10072,نماز غالب,1
10073,بھی نماز,1
10074,جلدی بھی,1
10075,پڑھتے جلدی,1
10076,ہیں پڑھتے,1
10077,پھر ہیں,1
10078,سے پھر,1
10079,گناہ سے,1
10080,کرنے گناہ,1
10081,کیلئے کرنے,1
10082,دہر کیلئے,1
10122,دھمکی ہوا,1
10123,مجموعہ میں,1
10124,خیال مجموعہ,1
10125,جلوہ میں,1
10126,گل جلوہ,1
10136,نکلا افشاں,1
10191,بحر ہوتا,1
10192,گر بحر,1
10193,بحر گر,1
10223,ہوتا درباں,1
10258,پر مرگیا,1
10267,چینِ میری,1
10268,جبیں چینِ,1
10269,سے جبیں,1
10270,غمِ سے,1
10271,پنہاں غمِ,1
10272,سمجھا پنہاں,1
10273,رازِ سمجھا,1
10274,مکتوب رازِ,1
10275,بہ مکتوب,1
10276,بے بہ,1
10277,ربطیٴ بے,1
10278,عنواں ربطیٴ,1
10279,سمجھا عنواں,1
10280,یک سمجھا,1
10281,الِف یک,1
10282,بیش الِف,1
10283,صقیلِ نہیں,1
10284,آئینہ صقیلِ,1
10285,ہنوز آئینہ,1
10286,چاک ہنوز,1
10287,کرتا چاک,1
10289,سے جب,1
10290,گریباں کہ,1
10291,سمجھا گریباں,1
10257,مرگیا غالب,1
10222,درباں کا,1
10194,نہ بحر,1
10221,کا یار,1
10196,بیاباں تو,1
10197,ہوتا بیاباں,1
10198,تنگی ہوتا,1
10199,دل تنگی,1
10200,کیا گلہ,1
10201,یہ کیا,1
10202,کافر وہ,1
10203,دل کافر,1
10204,تنگ اگر,1
10205,نہ تنگ,1
10206,پریشاں تو,1
10207,ہوتا پریشاں,1
10208,بعد ہوتا,1
10209,یک بعد,1
10210,عمرِ یک,1
10211,َوَرع عمرِ,1
10212,بار َوَرع,1
10213,تو بار,1
10214,دیتا تو,1
10215,بار دیتا,1
10216,کاش بار,1
10217,رِضواں کاش,1
10218,ہی رِضواں,1
10219,درِ ہی,1
10220,یار درِ,1
10983,سراپا میرا,1
10984,رہنِ سراپا,1
10985,عشق رہنِ,1
11690,رہی ستاتی,1
11676,در زنجیر,1
11677,ہر در,1
11680,بلاتی پر,1
11681,رہی بلاتی,1
11682,ایک بھر,1
11683,امید ایک,1
11684,سے امید,1
11685,بہلتا دل,1
11686,رہا بہلتا,1
11687,اک رہا,1
11688,تمنا اک,1
11689,ستاتی تمنا,1
11691,یک بھر,1
11645,رہی دکھاتی,1
11692,بیک یک,1
11693,شورش بیک,1
11694,فغاں شورش,1
11695,کی فغاں,1
11696,فصل طرح,1
11697,آئی گل,1
11698,امتحاں آئی,1
11699,کی امتحاں,1
11700,صحن طرح,1
11702,بہر میں,1
11703,مشتاقاں بہر,1
11704,ہر مشتاقاں,1
11675,زنجیر کوئی,1
11674,کوئی اسے,1
11673,اسے آیا,1
11672,رہی سناتی,1
11647,جلتی گاہ,1
11648,ہوئی جلتی,1
11649,گاہ ہوئی,1
11650,بجھتی گاہ,1
11651,ہوئی بجھتی,1
11652,شمع ہوئی,1
11653,جھلملاتی غم,1
11654,رہی جھلملاتی,1
11655,کوئی بھر,1
11656,خوشبو کوئی,1
11657,بدلتی خوشبو,1
11658,رہی بدلتی,1
11659,پیرہن رہی,1
11660,کوئی پیرہن,1
11661,تصویر کوئی,1
11662,گاتی تصویر,1
11663,رہی گاتی,1
11664,پھر بھر,1
11665,صبا پھر,1
11666,سایۂ صبا,1
11667,شاخ سایۂ,1
11668,گل شاخ,1
11669,کوئی تلے,1
11670,قصہ کوئی,1
11671,سناتی قصہ,1
11705,روش ہر,1
11706,کھنچ روش,1
11707,گئی کھنچ,1
11738,لگے پر,1
11740,کان ہیں,1
11741,یہاں کان,1
11742,دل یہاں,1
11743,سنبھالے دل,1
11744,رہو سنبھالے,1
11745,زباں رہو,1
11746,کی زباں,1
11747,یہ طرح,1
11748,خلش کس,1
11749,نے خلش,1
11750,پھر نے,1
11751,اس پھر,1
11752,دل اس,1
11753,آشیانہ میں,1
11754,کیا آشیانہ,1
11755,پھر کیا,1
11756,آج پھر,1
11757,کس آج,1
11760,ہم سخن,1
11761,غائبانہ سے,1
11762,کیا غائبانہ,1
11764,ہو جہاں,1
11765,رخ ہو,1
11766,ہو یار,1
11767,دست کہ,1
11739,ہیں لگے,1
11737,ہر طرح,1
11708,کماں گئی,1
11736,کی ناگہاں,1
11709,کی کماں,1
11710,پھر طرح,1
11712,کاسۂ ایک,1
11713,داغ کاسۂ,1
11714,پر داغ,1
11715,جام ہوا,1
11716,ارغواں جام,1
11717,کی ارغواں,1
11718,یاد طرح,1
11719,جنون آیا,1
11720,گم جنون,1
11721,بے گشتہ,1
11722,طلب بے,1
11723,قرض طلب,1
11724,دوستاں قرض,1
11725,کی دوستاں,1
11726,جانے طرح,1
11727,کس جانے,1
11729,ہو پر,1
11730,مہرباں ہو,1
11731,قاتل مہرباں,1
11732,بے قاتل,1
11733,سبب بے,1
11734,مرگ سبب,1
11735,ناگہاں مرگ,1
11646,گاہ بھر,1
11644,دکھاتی دل,1
11769,سلوک عدو,1
11567,نہ ذرا,1
11553,نہ لادوا,1
11554,لب تھے,1
11556,تلخیِ ہے,1
11557,مئے تلخیِ,1
11558,ایّام مئے,1
11559,ورنہ ایّام,1
11560,فیض ورنہ,1
11561,ہم فیض,1
11562,تلخیِ ہم,1
11563,کلام تلخیِ,1
11565,مائل پہ,1
11566,ذرا مائل,1
11568,حسن تھے,1
11643,دل چاندنی,1
11569,مرہون حسن,1
11570,جوش مرہون,1
11571,بادۂ جوش,1
11572,ناز بادۂ,1
11573,عشق ناز,1
11574,منت عشق,1
11575,فسون کش,1
11576,نیاز فسون,1
11577,دل نیاز,1
11579,تار ہر,1
11580,لرزش تار,1
11581,پیہم لرزش,1
11552,لادوا بہت,1
11551,بہت تھے,1
11550,تھے دکھ,1
11549,دکھ جو,1
11523,جہاں سے,1
11524,کشتۂ میں,1
11525,غم کشتۂ,1
11526,اور غم,1
11528,گر تھے,1
11529,فکرِ گر,1
11530,زخم فکرِ,1
11531,کی زخم,1
11532,خطاوار تو,1
11533,ہیں خطاوار,1
11534,کیوں ہم,1
11535,محوِ کیوں,1
11536,مدح محوِ,1
11537,خوبیِ مدح,1
11538,تیغِ خوبیِ,1
11539,ادا تیغِ,1
11540,ہر تھے,1
11541,چارہ ہر,1
11542,چارہ کو,1
11543,گری چارہ,1
11544,گریز سے,1
11545,تھا گریز,1
11546,ورنہ تھا,1
11547,ہمیں ورنہ,1
11548,جو ہمیں,1
11582,جاں پیہم,1
11583,کا جاں,1
11584,رشتہ ہر,1
11615,ہے فرض,1
11617,نماز ادائے,1
11618,تو نماز,1
11619,اک اور,1
11620,تغافل اک,1
11621,پیہم تغافل,1
11622,میں پیہم,1
11623,انتظار اور,1
11624,بے انتظار,1
11625,انداز بے,1
11626,خوف انداز,1
11627,ناکامئ خوف,1
11628,امید ناکامئ,1
11629,ہے امید,1
11630,فیضؔ ہے,1
11631,ورنہ فیضؔ,1
11632,دل ورنہ,1
11633,توڑ دل,1
11634,دے توڑ,1
11635,طلسم دے,1
11636,مجاز طلسم,1
11637,آپ مجاز,1
11638,کی آپ,1
11639,آتی یاد,1
11640,رہی آتی,1
11642,چاندنی بھر,1
11616,ادائے ہے,1
11614,فرض کریں,1
11585,وقف رشتہ,1
11613,کیا سہی,1
11586,سوز وقف,1
11588,گداز و,1
11589,سوزش گداز,1
11590,درد سوزش,1
11591,دل درد,1
11592,کسے دل,1
11593,معلوم کسے,1
11594,کون معلوم,1
11595,جانے کون,1
11596,کسی جانے,1
11597,عشق کے,1
11598,راز کا,1
11599,میری راز,1
11600,خاموشیوں میری,1
11601,میں خاموشیوں,1
11602,لرزاں میں,1
11603,کی نالوں,1
11604,گم کی,1
11605,شدہ گم,1
11606,آواز شدہ,1
11607,ہو آواز,1
11609,عشق چکا,1
11610,اب عشق,1
11611,ہوس اب,1
11612,ہی ہوس,1
11768,عدو دست,1
11770,جس سلوک,1
10986,ناگزیرِ و,1
11940,چکا آج,1
11928,ہو نوید,1
11929,صف ہو,1
11930,دشمناں صف,1
11931,کو دشمناں,1
11932,کرو خبر,1
11933,جو کرو,1
11934,وہ جو,1
11935,قرض وہ,1
11936,رکھتے قرض,1
11937,جان تھے,1
11938,پر جان,1
11939,حساب وہ,1
11941,دیا چکا,1
11896,کسی ہوا,1
11942,کرو دیا,1
11943,کج کرو,1
11944,جبیں کج,1
11945,پہ جبیں,1
11947,کفن سر,1
11948,مرے کفن,1
11949,قاتلوں مرے,1
11950,کو قاتلوں,1
11951,نہ گماں,1
11952,غرور کہ,1
11953,عشق غرور,1
11954,بانکپن کا,1
11927,نوید کو,1
